Name,Rarity,Type,Properties,Text
Potion of Cloud Giant Strength,very rare,potion,,"When you drink this potion, your Strength score changes to 27 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score.This potion's transparent liquid has floating in it a sliver of fingernail from a cloud giant."
Potion of Cold Resistance,uncommon,potion,,"When you drink this potion, you gain resistance to cold damage for 1 hour."
Potion of Fire Breath,uncommon,potion,,"After drinking this potion, you can use a bonus action to exhale fire at a target within 30 feet of you. The target must make a DC 13 Dexterity saving throw, taking 4d6 fire damage on a failed save, or half as much damage on a successful one. The effect ends after you exhale the fire three times or when 1 hour has passed. This potion's orange liquid flickers, and smoke fills the top of the container and wafts out whenever it is opened."
Potion of Fire Giant Strength,rare,potion,,"When you drink this potion, your Strength score changes to 25 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score.This potion's transparent liquid has floating in it a sliver of fingernail from a fire giant."
Potion of Fire Resistance,uncommon,potion,,"When you drink this potion, you gain resistance to fire damage for 1 hour."
Potion of Force Resistance,uncommon,potion,,"When you drink this potion, you gain resistance to force damage for 1 hour."
Potion of Frost Giant Strength,rare,potion,,"When you drink this potion, your Strength score changes to 23 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score.This potion's transparent liquid has floating in it a sliver of fingernail from a frost giant."
Potion of Greater Healing,uncommon,potion,,You regain 4d4 + 4 hit points when you drink this potion. The potion's red liquid glimmers when agitated.
Potion of Healing,common,potion,,You regain 2d4 + 2 hit points when you drink this potion. The potion's red liquid glimmers when agitated.
Potion of Heroism,rare,potion,,"For 1 hour after drinking it, you gain 10 temporary hit points that last for 1 hour. For the same duration, you are under the effect of the bless spell (no concentration required). This blue potion bubbles and steams as if boiling."
Potion of Hill Giant Strength,uncommon,potion,,"When you drink this potion, your Strength score changes to 21 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score.This potion's transparent liquid has floating in it a sliver of fingernail from a hill giant."
Potion of Invisibility,very rare,potion,,"This potion's container looks empty but feels as though it holds liquid. When you drink it, you become invisible for 1 hour. Anything you wear or carry is invisible with you. The effect ends early if you attack or cast a spell."
Potion of Invulnerability,rare,potion,,"For 1 minute after you drink this potion, you have resistance to all damage. The potion's syrupy liquid looks like liquefied iron."
Potion of Lightning Resistance,uncommon,potion,,"When you drink this potion, you gain resistance to lightning damage for 1 hour."
Potion of Necrotic Resistance,uncommon,potion,,"When you drink this potion, you gain resistance to necrotic damage for 1 hour."
Potion of Poison Resistance,uncommon,potion,,"When you drink this potion, you gain resistance to poison damage for 1 hour."
Potion of Psychic Resistance,uncommon,potion,,"When you drink this potion, you gain resistance to psychic damage for 1 hour."
Potion of Radiant Resistance,uncommon,potion,,"When you drink this potion, you gain resistance to radiant damage for 1 hour."
Potion of Speed,very rare,potion,,"When you drink this potion, you gain the effect of the haste spell for 1 minute (no concentration required). The potion's yellow fluid is streaked with black and swirls on its own."
Potion of Stone Giant Strength,rare,potion,,"When you drink this potion, your Strength score changes to 23 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score.This potion's transparent liquid has floating in it a sliver of fingernail from a stone giant."
Potion of Storm Giant Strength,legendary,potion,,"When you drink this potion, your Strength score changes to 29 for 1 hour. The potion has no effect on you if your Strength is equal to or greater than that score.This potion's transparent liquid has floating in it a sliver of fingernail from a storm giant."
Potion of Superior Healing,rare,potion,,You regain 8d4 + 8 hit points when you drink this potion. The potion's red liquid glimmers when agitated.
Potion of Supreme Healing,very rare,potion,,You regain 10d4 + 20 hit points when you drink this potion. The potion's red liquid glimmers when agitated.
Potion of Thunder Resistance,uncommon,potion,,"When you drink this potion, you gain resistance to thunder damage for 1 hour."
Quarterstaff,none,"weapon, simple weapon, melee weapon","1d6, bludgeoning, - versatile (1d8)", Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack.
Quarterstaff of Warning,uncommon,"weapon, simple weapon, melee weapon","1d6, bludgeoning, - versatile (1d8)","This magic weapon warns you of danger. While the weapon is on your person, you have advantage on initiative rolls. In addition, you and any of your companions within 30 feet of you can't be surprised, except when incapacitated by something other than nonmagical sleep. The weapon magically awakens you and your companions within range if any of you are sleeping naturally when combat begins. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
